contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026043004000039,UNHPL,3,91,10,471.0,4710.0,2026-04-30,188626451,2831,Arun Securities (PVT) Ltd.,Citizens Share Broker Limited,2026-04-30 11:01:06.232762,Union Hydropower Limited
2026043004000683,UNHPL,49,58,10,471.1,4711.0,2026-04-30,188632881,2831,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 11:10:25.563169,Union Hydropower Limited
2026043004000745,UNHPL,49,36,91,471.1,42870.1,2026-04-30,188633548,2831,Online Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-30 11:11:19.899377,Union Hydropower Limited
2026043004000746,UNHPL,56,36,50,471.1,23555.0,2026-04-30,188633550,2831,Sri Hari Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-30 11:11:19.899442,Union Hydropower Limited
2026043004000747,UNHPL,36,36,20,471.1,9422.0,2026-04-30,188633552,2831,Secured Securities Ltd.,Secured Securities Ltd.,2026-04-30 11:11:19.899475,Union Hydropower Limited
2026043004000748,UNHPL,53,36,300,471.1,141330.0,2026-04-30,188633554,2831,Investment Management Nepal Pvt. Ltd.,Secured Securities Ltd.,2026-04-30 11:11:19.899507,Union Hydropower Limited
2026043004000790,UNHPL,3,36,40,471.0,18840.0,2026-04-30,188633990,2831,Arun Securities (PVT) Ltd.,Secured Securities Ltd.,2026-04-30 11:11:46.318603,Union Hydropower Limited
2026043004000791,UNHPL,49,36,100,471.0,47100.0,2026-04-30,188633992,2831,Online Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-30 11:11:46.318749,Union Hydropower Limited
2026043004000792,UNHPL,44,36,399,471.0,187929.0,2026-04-30,188633993,2831,Dynamic Money Managers Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-30 11:11:46.318842,Union Hydropower Limited
2026043004000815,UNHPL,44,42,101,471.0,47571.0,2026-04-30,188634202,2831,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-30 11:12:00.076849,Union Hydropower Limited
2026043004000816,UNHPL,19,42,40,470.0,18800.0,2026-04-30,188634204,2831,Nepal Investment And Securities Trading Private Limited,Sani Securities Company Ltd.,2026-04-30 11:12:00.076909,Union Hydropower Limited
2026043004000817,UNHPL,13,42,20,470.0,9400.0,2026-04-30,188634206,2831,Thrive Brokerage House Pvt. Ltd,Sani Securities Company Ltd.,2026-04-30 11:12:00.076945,Union Hydropower Limited
2026043004000818,UNHPL,49,42,100,470.0,47000.0,2026-04-30,188634208,2831,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-30 11:12:00.076974,Union Hydropower Limited
2026043004000819,UNHPL,44,42,739,470.0,347330.0,2026-04-30,188634209,2831,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-30 11:12:00.077006,Union Hydropower Limited
2026043004000848,UNHPL,44,42,261,470.0,122670.0,2026-04-30,188634450,2831,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-30 11:12:13.140520,Union Hydropower Limited
2026043004000849,UNHPL,62,42,739,468.0,345852.0,2026-04-30,188634451,2831,Capital Max Securities Ltd,Sani Securities Company Ltd.,2026-04-30 11:12:13.140582,Union Hydropower Limited
2026043004001128,UNHPL,42,4,11,476.9,5245.9,2026-04-30,188637182,2831,Sani Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-30 11:15:09.396549,Union Hydropower Limited
2026043004002411,UNHPL,96,62,1000,472.1,472100.0,2026-04-30,188651064,2831,Himalayan Securities Limited,Capital Max Securities Ltd,2026-04-30 11:29:51.006509,Union Hydropower Limited
2026043004002429,UNHPL,49,62,400,472.0,188800.0,2026-04-30,188651230,2831,Online Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-30 11:30:05.936306,Union Hydropower Limited
2026043004002430,UNHPL,59,62,200,471.0,94200.0,2026-04-30,188651232,2831,Deevyaa Securities & Stock House Pvt. Ltd,Capital Max Securities Ltd,2026-04-30 11:30:05.936409,Union Hydropower Limited
2026043004002544,UNHPL,59,42,200,474.0,94800.0,2026-04-30,188652176,2831,Deevyaa Securities & Stock House Pvt. Ltd,Sani Securities Company Ltd.,2026-04-30 11:31:14.182858,Union Hydropower Limited
2026043004002545,UNHPL,56,42,300,474.0,142200.0,2026-04-30,188652189,2831,Sri Hari Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-30 11:31:15.722419,Union Hydropower Limited
2026043004002781,UNHPL,62,32,261,474.3,123792.3,2026-04-30,188654514,2831,Capital Max Securities Ltd,Premier Securities Company Ltd.,2026-04-30 11:34:20.904163,Union Hydropower Limited
2026043004003164,UNHPL,62,57,105,471.1,49465.5,2026-04-30,188657875,2831,Capital Max Securities Ltd,Aryatara Investment & Securities,2026-04-30 11:39:18.134878,Union Hydropower Limited
2026043004004581,UNHPL,49,59,10,474.0,4740.0,2026-04-30,188671184,2831,Online Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-30 11:57:29.792624,Union Hydropower Limited
2026043004005098,UNHPL,56,28,300,471.3,141390.0,2026-04-30,188676684,2831,Sri Hari Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2026-04-30 12:06:25.442120,Union Hydropower Limited
2026043004005099,UNHPL,28,28,200,471.2,94240.0,2026-04-30,188676685,2831,Shree Krishna Securities Ltd.,Shree Krishna Securities Ltd.,2026-04-30 12:06:25.442219,Union Hydropower Limited
2026043004005267,UNHPL,49,22,100,471.0,47100.0,2026-04-30,188678557,2831,Online Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-30 12:09:21.370856,Union Hydropower Limited
2026043004006291,UNHPL,49,44,20,471.0,9420.0,2026-04-30,188687239,2831,Online Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-30 12:22:21.843538,Union Hydropower Limited
2026043004006416,UNHPL,49,22,100,471.0,47100.0,2026-04-30,188688775,2831,Online Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-30 12:25:17.458708,Union Hydropower Limited
2026043004007009,UNHPL,62,59,90,474.0,42660.0,2026-04-30,188695109,2831,Capital Max Securities Ltd,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-30 12:37:13.893614,Union Hydropower Limited
2026043004007023,UNHPL,62,62,10,474.0,4740.0,2026-04-30,188695254,2831,Capital Max Securities Ltd,Capital Max Securities Ltd,2026-04-30 12:37:37.288345,Union Hydropower Limited
2026043004007122,UNHPL,56,62,440,474.0,208560.0,2026-04-30,188696421,2831,Sri Hari Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-30 12:39:55.370687,Union Hydropower Limited
2026043004007169,UNHPL,56,62,160,473.0,75680.0,2026-04-30,188697064,2831,Sri Hari Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-30 12:41:33.095559,Union Hydropower Limited
2026043004007170,UNHPL,35,62,157,472.5,74182.5,2026-04-30,188697066,2831,Kohinoor Investment & Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-30 12:41:33.095849,Union Hydropower Limited
2026043004007171,UNHPL,65,62,20,472.1,9442.0,2026-04-30,188697068,2831,Sharepro Securities Private Limited,Capital Max Securities Ltd,2026-04-30 12:41:33.096036,Union Hydropower Limited
