contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026040903000001,NABBC,29,49,20,1182.9,23658.0,2026-04-09,185667984,172,Trisul Securities & Invt. Ltd.,Online Securities Pvt. Ltd.,2026-04-09 10:46:00.009442,Narayani Development Bank Limited
2026040903000002,NABBC,58,49,19,1182.9,22475.1,2026-04-09,185667987,172,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,2026-04-09 10:46:00.009521,Narayani Development Bank Limited
2026040903000161,NABBC,1,26,100,1187.0,118700.0,2026-04-09,185674267,172,Kumari Securities Private Limited,Asian Securities Private Ltd.,2026-04-09 11:08:21.386873,Narayani Development Bank Limited
2026040903000162,NABBC,22,26,30,1186.0,35580.0,2026-04-09,185674269,172,Siprabi Securities Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:08:21.386925,Narayani Development Bank Limited
2026040903000163,NABBC,29,26,20,1185.2,23704.0,2026-04-09,185674271,172,Trisul Securities & Invt. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:08:21.386956,Narayani Development Bank Limited
2026040903000164,NABBC,34,26,100,1185.1,118510.0,2026-04-09,185674273,172,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,2026-04-09 11:08:21.386990,Narayani Development Bank Limited
2026040903000165,NABBC,42,26,273,1185.1,323532.3,2026-04-09,185674275,172,Sani Securities Company Ltd.,Asian Securities Private Ltd.,2026-04-09 11:08:21.387016,Narayani Development Bank Limited
2026040903000166,NABBC,32,26,200,1185.0,237000.0,2026-04-09,185674277,172,Premier Securities Company Ltd.,Asian Securities Private Ltd.,2026-04-09 11:08:21.387057,Narayani Development Bank Limited
2026040903000203,NABBC,71,26,10,1200.0,12000.0,2026-04-09,185675405,172,SHUBHAKAMANA SECURITIES PVT. LTD,Asian Securities Private Ltd.,2026-04-09 11:09:33.216113,Narayani Development Bank Limited
2026040903000271,NABBC,14,14,20,1187.0,23740.0,2026-04-09,185677299,172,Nepal Stock House (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-09 11:11:36.118284,Narayani Development Bank Limited
2026040903000293,NABBC,14,14,10,1187.0,11870.0,2026-04-09,185677951,172,Nepal Stock House (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-09 11:12:26.295905,Narayani Development Bank Limited
2026040903000574,NABBC,21,26,10,1185.0,11850.0,2026-04-09,185689523,172,Midas Stock Broking Company Private Limited,Asian Securities Private Ltd.,2026-04-09 11:25:17.629239,Narayani Development Bank Limited
2026040903000575,NABBC,59,26,20,1185.0,23700.0,2026-04-09,185689525,172,Deevyaa Securities & Stock House Pvt. Ltd,Asian Securities Private Ltd.,2026-04-09 11:25:17.629387,Narayani Development Bank Limited
2026040903000576,NABBC,4,26,93,1184.5,110158.5,2026-04-09,185689526,172,Opal Securities Investment (PVT) Ltd.,Asian Securities Private Ltd.,2026-04-09 11:25:17.629485,Narayani Development Bank Limited
2026040903000578,NABBC,22,26,20,1184.0,23680.0,2026-04-09,185689726,172,Siprabi Securities Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:25:25.059455,Narayani Development Bank Limited
2026040903000584,NABBC,51,26,20,1183.0,23660.0,2026-04-09,185689949,172,Oxford Securities Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:25:41.445342,Narayani Development Bank Limited
2026040903000585,NABBC,17,26,20,1182.2,23644.0,2026-04-09,185689951,172,ABC Securities Private Limited,Asian Securities Private Ltd.,2026-04-09 11:25:41.445413,Narayani Development Bank Limited
2026040903000586,NABBC,58,26,25,1182.0,29550.0,2026-04-09,185689953,172,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:25:41.445455,Narayani Development Bank Limited
2026040903000587,NABBC,14,26,10,1180.0,11800.0,2026-04-09,185689954,172,Nepal Stock House (PVT) Ltd.,Asian Securities Private Ltd.,2026-04-09 11:25:41.445497,Narayani Development Bank Limited
2026040903000674,NABBC,11,26,100,1182.0,118200.0,2026-04-09,185692541,172,Malla & Malla Stock Broking Company Pvt. Limited,Asian Securities Private Ltd.,2026-04-09 11:29:50.513847,Narayani Development Bank Limited
2026040903000675,NABBC,34,26,50,1181.1,59055.0,2026-04-09,185692543,172,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,2026-04-09 11:29:50.514010,Narayani Development Bank Limited
2026040903000676,NABBC,59,26,10,1181.0,11810.0,2026-04-09,185692545,172,Deevyaa Securities & Stock House Pvt. Ltd,Asian Securities Private Ltd.,2026-04-09 11:29:50.514128,Narayani Development Bank Limited
2026040903000677,NABBC,14,26,10,1180.0,11800.0,2026-04-09,185692546,172,Nepal Stock House (PVT) Ltd.,Asian Securities Private Ltd.,2026-04-09 11:29:50.514219,Narayani Development Bank Limited
2026040903001068,NABBC,38,20,150,1190.0,178500.0,2026-04-09,185703095,172,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sipla Securities Private Limited,2026-04-09 11:42:36.894430,Narayani Development Bank Limited
