contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026040904000016,SHEL,54,20,100,325.0,32500.0,2026-04-09,185668307,2934,Sewa Securities Pvt. Ltd.,Sipla Securities Private Limited,2026-04-09 11:00:27.270133,Singati Hydro Energy Limited
2026040904000052,SHEL,42,66,500,323.0,161500.0,2026-04-09,185669006,2934,Sani Securities Company Ltd.,Miyo Securities Pvt Ltd,2026-04-09 11:01:37.698779,Singati Hydro Energy Limited
2026040904000118,SHEL,26,62,60,323.5,19410.0,2026-04-09,185670202,2934,Asian Securities Private Ltd.,Capital Max Securities Ltd,2026-04-09 11:03:11.071927,Singati Hydro Energy Limited
2026040904000162,SHEL,26,58,440,323.5,142340.0,2026-04-09,185670779,2934,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,2026-04-09 11:03:55.276624,Singati Hydro Energy Limited
2026040904000163,SHEL,38,58,60,323.5,19410.0,2026-04-09,185670780,2934,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,2026-04-09 11:03:55.276811,Singati Hydro Energy Limited
2026040904000199,SHEL,33,45,100,325.7,32570.0,2026-04-09,185671122,2934,Dakshinkali Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-09 11:04:21.415995,Singati Hydro Energy Limited
2026040904000200,SHEL,33,58,50,325.9,16295.0,2026-04-09,185671124,2934,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-09 11:04:21.416111,Singati Hydro Energy Limited
2026040904000201,SHEL,33,77,15,325.9,4888.5,2026-04-09,185671126,2934,Dakshinkali Investment & Securities Pvt. Ltd.,Nabil Stock Dealer Ltd.,2026-04-09 11:04:21.416155,Singati Hydro Energy Limited
2026040904000202,SHEL,33,74,191,325.9,62246.9,2026-04-09,185671129,2934,Dakshinkali Investment & Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-09 11:04:21.416194,Singati Hydro Energy Limited
2026040904000310,SHEL,42,38,30,325.0,9750.0,2026-04-09,185672455,2934,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-09 11:06:15.483245,Singati Hydro Energy Limited
2026040904000324,SHEL,35,38,470,325.0,152750.0,2026-04-09,185672556,2934,Kohinoor Investment & Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-09 11:06:23.970420,Singati Hydro Energy Limited
2026040904000325,SHEL,35,74,309,325.9,100703.1,2026-04-09,185672558,2934,Kohinoor Investment & Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-09 11:06:23.970690,Singati Hydro Energy Limited
